nombre,dni,tipoSangre,sexo,salud,enEspera,telefono
Hendrik,1212200,0p,m,0.68,true,265-491-5097
Laurette,285962,0n,f,0.02,false,235-699-5608
Jori,3893532,ABn,f,0.94,true,170-257-6053
Sibel,4852352,ABp,f,0.28,false,578-541-5543
Elka,57852644,Ap,f,0.93,false,466-722-6476
Diego,67563114,An,m,0.4,false,963-156-9489
Virginie,74632001,Bn,f,0.17,false,504-460-1640
Town,88214996,Bp,m,0.27,true,319-324-0276
Gilburt,95810660,ABn,m,0.33,true,416-223-5306
Mendy,10654778,An,f,0.95,true,981-163-6636
Shelagh,11321445,0n,f,0.2,true,650-423-3382
Fairleigh,12569008,0p,f,0.14,false,530-456-1447
Mendy,13548564,Bn,m,0.59,false,104-614-6250
Cobby,14908776,An,m,0.22,true,526-555-2588
Amii,15543221,ABn,f,0.64,false,167-832-3781
Gene,16456356,0p,m,0.16,true,212-831-1121
Dieter,17567990,Ap,m,0.0,false,738-629-6550
Emmery,14567788,Bn,f,0.41,true,355-630-3539
Nannette,14325549,Ap,f,0.9,true,106-946-3109
